Name,ShortName,LevelType,CityCode,ZipCode,MergerName,lng,Lat,Pinyin
中国,中国,0,,,中国,116.3683244,39.915085,China
北京,北京,1,,,中国-北京,116.405285,39.904989,Beijing
北京市,北京,2,10,100000,中国-北京-北京市,116.405285,39.904989,Beijing
东城区,东城,3,10,100010,中国-北京-北京市-东城区,116.41005,39.93157,Dongcheng
西城区,西城,3,10,100032,中国-北京-北京市-西城区,116.36003,39.9305,Xicheng
朝阳区,朝阳,3,10,100020,中国-北京-北京市-朝阳区,116.48548,39.9484,Chaoyang
丰台区,丰台,3,10,100071,中国-北京-北京市-丰台区,116.28625,39.8585,Fengtai
石景山区,石景山,3,10,100043,中国-北京-北京市-石景山区,116.2229,39.90564,Shijingshan
海淀区,海淀,3,10,100089,中国-北京-北京市-海淀区,116.29812,39.95931,Haidian
门头沟区,门头沟,3,10,102300,中国-北京-北京市-门头沟区,116.10137,39.94043,Mentougou
房山区,房山,3,10,102488,中国-北京-北京市-房山区,116.14257,39.74786,Fangshan
通州区,通州,3,10,101149,中国-北京-北京市-通州区,116.65716,39.90966,Tongzhou
顺义区,顺义,3,10,101300,中国-北京-北京市-顺义区,116.65417,40.1302,Shunyi
昌平区,昌平,3,10,102200,中国-北京-北京市-昌平区,116.2312,40.22072,Changping
大兴区,大兴,3,10,102600,中国-北京-北京市-大兴区,116.34149,39.72668,Daxing
怀柔区,怀柔,3,10,101400,中国-北京-北京市-怀柔区,116.63168,40.31602,Huairou
平谷区,平谷,3,10,101200,中国-北京-北京市-平谷区,117.12133,40.14056,Pinggu
密云县,密云,3,10,101500,中国-北京-北京市-密云县,116.84295,40.37618,Miyun
延庆县,延庆,3,10,102100,中国-北京-北京市-延庆县,115.97494,40.45672,Yanqing
天津,天津,1,,,中国-天津,117.190182,39.125596,Tianjin
天津市,天津,2,22,300000,中国-天津-天津市,117.190182,39.125596,Tianjin
和平区,和平,3,22,300041,中国-天津-天津市-和平区,117.21456,39.11718,Heping
河东区,河东,3,22,300171,中国-天津-天津市-河东区,117.22562,39.12318,Hedong
河西区,河西,3,22,300202,中国-天津-天津市-河西区,117.22327,39.10959,Hexi
南开区,南开,3,22,300110,中国-天津-天津市-南开区,117.15074,39.13821,Nankai
河北区,河北,3,22,300143,中国-天津-天津市-河北区,117.19697,39.14816,Hebei
红桥区,红桥,3,22,300131,中国-天津-天津市-红桥区,117.15145,39.16715,Hongqiao
东丽区,东丽,3,22,300300,中国-天津-天津市-东丽区,117.31436,39.0863,Dongli
西青区,西青,3,22,300380,中国-天津-天津市-西青区,117.00927,39.14123,Xiqing
津南区,津南,3,22,300350,中国-天津-天津市-津南区,117.38537,38.99139,Jinnan
北辰区,北辰,3,22,300400,中国-天津-天津市-北辰区,117.13217,39.22131,Beichen
武清区,武清,3,22,301700,中国-天津-天津市-武清区,117.04443,39.38415,Wuqing
宝坻区,宝坻,3,22,301800,中国-天津-天津市-宝坻区,117.3103,39.71761,Baodi
滨海新区,滨海新区,3,22,300451,中国-天津-天津市-滨海新区,117.70162,39.02668,Binhaixinqu
宁河县,宁河,3,22,301500,中国-天津-天津市-宁河县,117.8255,39.33048,Ninghe
静海县,静海,3,22,301600,中国-天津-天津市-静海县,116.97436,38.94582,Jinghai
蓟县,蓟县,3,22,301900,中国-天津-天津市-蓟县,117.40799,40.04567,Jixian
河北省,河北,1,,,中国-河北省,114.502461,38.045474,Hebei
石家庄市,石家庄,2,311,50011,中国-河北省-石家庄市,114.502461,38.045474,Shijiazhuang
长安区,长安,3,311,50011,中国-河北省-石家庄市-长安区,114.53906,38.03665,Chang'an
桥西区,桥西,3,311,50091,中国-河北省-石家庄市-桥西区,114.46977,38.03221,Qiaoxi
新华区,新华,3,311,50051,中国-河北省-石家庄市-新华区,114.46326,38.05088,Xinhua
